Vocab,Pinyin,Meaning
是否,shì fǒu,whether (or not); if; is or isn't
适当,shì dàng,suitable; appropriate
适合,shì hé,to fit; to suit
适应,shì yìng,to adapt; to fit; to suit
释放,shì fàng,to release; to set free; to liberate (a prisoner); to discharge
收,shōu,to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)
收藏,shōu cáng,"to collect (works of art, dolls, antiques etc); to put away for safekeeping; (Internet) to bookmark; a collection"
收到,shōu dào,to receive
收获,shōu huò,variant of 收获
收集,shōu jí,to gather; to collect
收入,shōu rù,to take in; income; revenue
收拾,shōu shi,to put in order; to tidy up; to pack; to repair; (coll.) to sort sb out; to fix sb
手,shǒu,hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill
手段,shǒu duàn,method; means (of doing sth); strategy; trick
手机,shǒu jī,cell phone; mobile phone
手里,shǒu lǐ,in hand; (a situation is) in sb's hands
手术,shǒu shù,(surgical) operation; surgery
手指,shǒu zhǐ,finger
守,shǒu,to guard; to defend; to keep watch; to abide by the law; to observe (rules or ritual); nearby; adjoining
首,shǒu,"head; chief; first (occasion, thing etc); classifier for poems, songs etc"
首先,shǒu xiān,first (of all); in the first place
受,shòu,to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker)
受不了,shòu bù liǎo,unbearable; unable to endure; can't stand
受到,shòu dào,"to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)"
受伤,shòu shāng,to sustain injuries; wounded (in an accident etc); harmed
授权,shòu quán,to authorize
瘦,shòu,thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive
书,Shū,abbr. for 书经
叔叔,shū shu,father's younger brother; uncle; Taiwan pr. [shú shu]
舒服,shū fu,comfortable; feeling well
输,shū,to lose; to be beaten; (bound form) to transport; (literary) to donate; to contribute; (coll.) to enter (a password)
熟,shú,ripe; mature; thoroughly cooked; done; familiar; acquainted; experienced; skilled; (of sleep etc) deep; profound; also pr. [shóu]
熟悉,shú xī,to be familiar with; to know well
属,shǔ,category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute
属于,shǔ yú,to be classified as; to belong to; to be part of
鼠,shǔ,(bound form) rat; mouse
树,shù,tree; to cultivate; to set up
数,shǔ,to count; to count as; to regard as; to enumerate; to list
数据,shù jù,data
数量,shù liàng,amount; quantity; quantitative
数学,shù xué,mathematics; mathematical
数字,shù zì,numeral; digit; number; figure; amount; digital (electronics etc)
刷,shuā,to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job
耍,Shuǎ,surname Shua
摔,shuāi,to throw down; to fall; to drop and break
甩,shuǎi,to throw; to fling; to swing; to leave behind; to throw off; to dump (sb)
帅,Shuài,surname Shuai
双,Shuāng,surname Shuang
双方,shuāng fāng,bilateral; both sides; both parties involved
双手,shuāng shǒu,both hands
爽,shuǎng,bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate
谁,shéi,who; also pr. [shuí]
水,Shuǐ,surname Shui
水果,shuǐ guǒ,fruit
水平,shuǐ píng,level (of achievement etc); standard; horizontal
税,shuì,taxes; duties
睡,shuì,to sleep; to lie down
睡觉,shuì jiào,to go to bed; to sleep
睡着,shuì zháo,to fall asleep
顺,shùn,to obey; to follow; to arrange; to make reasonable; along; favorable
顺便,shùn biàn,conveniently; in passing; without much extra effort
顺利,shùn lì,smoothly; without a hitch
瞬间,shùn jiān,in an instant; in a flash
说,shuì,to persuade
说法,shuō fǎ,to expound Buddhist teachings
说话,shuō huà,to speak; to say; to talk; to gossip; to tell stories; talk; word
说明,shuō míng,to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption
说实话,shuō shí huà,to speak the truth; truth to tell; frankly
丝,sī,"silk; thread; trace; (cuisine) shreds or julienne strips; classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc"
司法,sī fǎ,judicial; (administration of) justice
司机,sī jī,chauffeur; driver
私人,sī rén,private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique
思考,sī kǎo,to reflect on; to ponder over
思维,sī wéi,(line of) thought; thinking
思想,sī xiǎng,thought; thinking; idea; ideology
死,sǐ,to die; impassable; uncrossable; inflexible; rigid; extremely; damned
死亡,sǐ wáng,to die; death
四,sì,four; 4
松,Sōng,surname Song
送,sòng,to send; to deliver; to transmit; to give (as a present); to see (sb) off; to accompany; to go along with
送给,sòng gěi,to send; to give as a present
搜,sōu,to search
搜索,sōu suǒ,to search (a place); to search (a database); to search for (sth)
艘,sōu,classifier for ships; Taiwan pr. [sāo]
素,sù,"raw silk; white; plain, unadorned; vegetarian (food); essence; nature; element; constituent; usually; always; ever"
速度,sù dù,speed; rate; velocity; (music) tempo
诉讼,sù sòng,lawsuit
酸,suān,sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; to make sarcastic remarks about sb; an acid
算,suàn,to regard as; to figure; to calculate; to compute
算了,suàn le,let it be; let it pass; forget about it
算是,suàn shì,considered to be; at last
虽然,suī rán,although; even though (often used correlatively with 是 or 是 etc)
随,Suí,surname Sui
随便,suí biàn,as one wishes; as one pleases; at random; negligent; casual; wanton
随后,suí hòu,soon after
随时,suí shí,at any time; at all times; at the right time; whenever necessary
随意,suí yì,as one wishes; according to one's wishes; at will; voluntary; conscious
随着,suí zhe,along with; in the wake of; following
岁,suì,"variant of 岁, year; years old"
碎,suì,(transitive or intransitive verb) to break into pieces; to shatter; to crumble; broken; fragmentary; scattered; garrulous
损伤,sǔn shāng,to harm; to damage; to injure; impairment; loss; disability
损失,sǔn shī,loss; damage; to lose; to suffer damage
所,suǒ,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive"
所谓,suǒ wèi,so-called; what is called
所以,suǒ yǐ,therefore; as a result; so; the reason why
所有,suǒ yǒu,all; to have; to possess; to own
所在,suǒ zài,place; location; (after a noun) place where it is located
锁,suǒ,to lock; to lock up; a lock
他,tā,he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other
他们,tā men,they
他人,tā rén,another person; sb else; other people
它,tā,it
它们,tā men,they (for inanimate objects)
她,tā,she
她们,tā men,they; them (for females)
塔,tǎ,pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo)
踏,tā,see 踏实
台,Tái,Taiwan (abbr.); surname Tai
抬,tái,to lift; to raise; (of two or more persons) to carry
太,tài,highest; greatest; too (much); very; extremely
太空,tài kōng,outer space
太太,tài tai,married woman; Mrs.; Madam; wife
太阳,tài yang,sun; abbr. for 太阳穴
态度,tài du,manner; bearing; attitude; approach
谈,Tán,surname Tan
谈话,tán huà,to talk (with sb); to have a conversation; talk; conversation
谈判,tán pàn,to negotiate; negotiation; talks; conference
探,tàn,to explore; to search out; to scout; to visit; to stretch forward
汤,Tāng,surname Tang
堂,táng,"(main) hall; large room for a specific purpose; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for classes, lectures etc; classifier for sets of furniture"
糖,táng,sugar; sweets; candy
躺,tǎng,to recline; to lie down
趟,tāng,old variant of 趟
逃,táo,to escape; to run away; to flee
淘汰,táo tài,to wash out; (fig.) to cull; to weed out; to eliminate; to die out; to phase out
讨论,tǎo lùn,to discuss; to talk over
讨厌,tǎo yàn,to dislike; to loathe; disagreeable; troublesome; annoying
套,tào,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)"
特,tè,"special; unique; distinguished; especially; unusual; very; abbr. for 斯, tex"
特别,tè bié,unusual; special; very; especially; particularly; expressly; for a specific purpose; (often followed by 是) in particular
特殊,tè shū,special; particular; unusual; extraordinary
特征,tè zhēng,characteristic; diagnostic property; distinctive feature; trait
疼,téng,(it) hurts; sore; to love dearly
疼痛,téng tòng,pain; (of a body part) to be painful; to be sore; to hurt; (of a person) to be in pain
踢,tī,to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship)
提,dī,used in 防 and 溜
提出,tí chū,to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash)
提到,tí dào,to mention; to raise (a subject); to refer to
提高,tí gāo,to raise; to increase; to improve
提供,tí gōng,to offer; to supply; to provide; to furnish
提起,tí qǐ,"to mention; to speak of; to lift; to pick up; to arouse; to raise (a topic, a heavy weight, one's fist, one's spirits etc)"
提前,tí qián,to shift to an earlier date; to do sth ahead of time; in advance
提升,tí shēng,to promote (to a higher-ranking position); to lift; to hoist; (fig.) to elevate; to raise; to improve
提示,tí shì,to point out; to remind (sb of sth); to suggest; suggestion; tip; reminder; notice
提醒,tí xǐng,to remind; to call attention to; to warn of
题,Tí,surname Ti
体会,tǐ huì,to know from experience; to learn through experience; to realize; understanding; experience
体验,tǐ yàn,to experience for oneself
体育,tǐ yù,sports; physical education
替,tì,to substitute for; to take the place of; to replace; for; on behalf of; to stand in for
天,tiān,day; sky; heaven
天空,tiān kōng,sky
天气,tiān qì,weather
天使,tiān shǐ,angel
天堂,tiān táng,paradise; heaven
天下,tiān xià,land under heaven; the whole world; the whole of China; realm; rule
田,Tián,surname Tian
甜,tián,sweet
挑,tiāo,to carry on a shoulder pole; to choose; to pick; to nitpick
挑战,tiǎo zhàn,to challenge; challenge
条,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)"
条件,tiáo jiàn,condition; circumstance; term; factor; requirement; prerequisite; qualification; situation; state; condition
跳,tiào,to jump; to hop; to skip over; to bounce; to palpitate
跳舞,tiào wǔ,to dance
贴,tiē,to stick; to paste; to post (e.g. on a blog); to keep close to; to fit snugly; to subsidize; allowance (e.g. money for food or housing); sticker; classifier for sticking plaster: strip
铁,Tiě,surname Tie
厅,tīng,(reception) hall; living room; office; provincial government department
听,yǐn,smile (archaic)
听到,tīng dào,to hear
听见,tīng jiàn,to hear
听说,tīng shuō,to hear (sth said); one hears (that); hearsay; listening and speaking
停,tíng,to stop; to halt; to park (a car)
停车,tíng chē,to pull up (stop one's vehicle); to park; (of a machine) to stop working; to stall
停下,tíng xià,to stop
停止,tíng zhǐ,to stop; to halt; to cease
挺,tǐng,straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
通,tōng,"to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc"
通常,tōng cháng,regular; usual; normal; usually; normally
通道,Tōng dào,"Tongdao Dong autonomous county in Huaihua 怀化, Hunan"
通过,tōng guò,to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through; via
