Vocab,Pinyin,Meaning,Example,Example_Meaning
奇怪,qí guài,strange; odd; to marvel; to be baffled,这事真奇怪。,This is really strange.
奇迹,qí jì,miracle; miraculous; wonder; marvel,这是一个奇迹。,This is a miracle.
骑,jì,(Tw) saddle horse; mounted soldier,他骑马打仗。,He fights on horseback.
企业,qǐ yè,company; firm; enterprise; corporation,我在一家企业工作。,I work at a company.
启动,qǐ dòng,to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan),我们启动计划吧。,Let's launch the plan.
起,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group",我起床了。,I got up.
起床,qǐ chuáng,to get out of bed; to get up,你几点起床？,What time do you get up?
起来,qǐ lai,to stand up; to get up; also pr. [qǐ lái],他站起来。,He stands up.
起诉,qǐ sù,to sue; to bring a lawsuit against; to prosecute,我要起诉他,I want to sue him.
气,qì,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi,我有点生气。,I am a little angry.
气氛,qì fēn,atmosphere; mood,今天的气氛很好。,The atmosphere today is very good.
汽车,qì chē,car; automobile; bus,我坐汽车去学校。,I take the car to school.
千,qiān,thousand,我有一千块钱。,I have a thousand yuan.
千万,qiān wàn,ten million; countless; many; one must by all means,千万别迟到。,Absolutely don't be late.
牵,qiān,to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in,妈妈牵着我的手。,Mom holds my hand.
签,qiān,to sign one's name; to write brief comments on a document; inscribed bamboo stick (variant of 签); visa,请在这里签。,Please sign here.
签名,qiān míng,to sign (one's name with a pen etc); to autograph; signature,请在这里签名。,Please sign here.
前,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,我在前面等你。,I'll wait for you ahead.
前进,qián jìn,to go forward; to forge ahead; to advance; onward,我们继续前进。,Let's keep moving forward.
前面,qián miàn,ahead; in front; preceding; above; also pr. [qián mian],请坐前面。,Please sit in the front.
前往,qián wǎng,to leave for; to proceed towards; to go to,我明天前往北京。,I am going to Beijing tomorrow.
钱,Qián,surname Qian,我有钱。,I have money.
潜力,qián lì,potential; capacity,他有很大潜力。,He has great potential.
欠,qiàn,to owe; to lack; (literary) to be deficient in; (bound form) yawn; to raise slightly (a part of one's body),我欠你一百块。,I owe you a hundred yuan.
枪,Qiāng,surname Qiang,他有一把枪。,He has a gun.
强,Qiáng,surname Qiang,强老师来了。,Teacher Qiang is here.
强大,qiáng dà,large; formidable; powerful; strong,他的团队很强大。,His team is very strong.
强调,qiáng diào,to emphasize (a statement); to stress,我强调一下规则。,I'll emphasize the rules.
强烈,qiáng liè,strong; intense,阳光太强烈了。,The sunlight is very intense.
墙,qiáng,"variant of 墙, wall",墙上有一幅画。,There is a picture on the wall.
抢,qiāng,(literary) to knock against (esp. to knock one's head on the ground in grief or rage); opposite in direction; contrary,他头抢地。,He knocked his head on the ground.
抢劫,qiǎng jié,to rob; looting,他抢劫了银行。,He robbed a bank.
桥,qiáo,bridge,我们过桥吧。,Let's cross the bridge.
瞧,qiáo,to look at; to see; to see (a doctor); to visit,你瞧见了吗？,Did you see it?
巧克力,qiǎo kè lì,chocolate (loanword),我喜欢吃巧克力。,I like to eat chocolate.
且,qiě,and; moreover; yet; for the time being; to be about to; both (... and...),且看再说吧。,Let's wait and see first.
切,qiē,to cut; to slice; to carve; (math) tangential,请切苹果。,Please cut the apple.
亲,qīn,parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (Internet slang) dear,我们很亲。,We are very close.
亲爱,qīn ài,dear; beloved; darling,亲爱的，你好吗？,"Dear, how are you?"
亲自,qīn zì,personally; in person; oneself,我亲自去接你。,I'll go pick you up myself.
青,Qīng,"abbr. for 海, Qinghai Province",我去过青。,I have been to Qinghai.
青年,qīng nián,youth; youthful years; young person; the young,他是个好青年。,He is a good young man.
轻,qīng,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage,这个箱子很轻。,This box is very light.
轻松,qīng sōng,light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously,今天工作很轻松。,Today's work is very relaxing.
轻易,qīng yì,easily; lightly; rashly,别轻易相信别人。,Don't trust others easily.
倾向,qīng xiàng,trend; tendency; orientation,他有当老师的倾向。,He has a tendency to become a teacher.
清,Qīng,Qing (Wade-Giles: Ch'ing) dynasty of imperial China (1644-1911); surname Qing,他喜欢清朝。,He likes the Qing dynasty.
清楚,qīng chu,clear; distinct; to understand thoroughly; to be clear about,请说清楚点。,Please speak more clearly.
清理,qīng lǐ,to clear up; to tidy up; to dispose of,我要清理房间。,I need to clean up the room.
清醒,qīng xǐng,clear-headed; sober; awake,我需要清醒一下。,I need to clear my head.
情,qíng,feeling; emotion; passion; situation,他对我有情,He has feelings for me.
情报,qíng bào,information; intelligence,我收到了重要情报。,I received important intelligence.
情感,qíng gǎn,feeling; emotion; to move (emotionally),这种情感很真实。,This feeling is very real.
情况,qíng kuàng,circumstances; state of affairs; situation,情况怎么样？,How is the situation?
情绪,qíng xù,mood; state of mind; moodiness,他今天情绪不好。,He's in a bad mood today.
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,请你吃饭。,I will treat you to a meal.
请求,qǐng qiú,to request; to ask; request,我请求帮忙。,I request help.
请问,qǐng wèn,"Excuse me, may I ask...?",请问厕所在哪里？,"Excuse me, where is the restroom?"
庆祝,qìng zhù,to celebrate,我们庆祝生日。,We are celebrating a birthday.
求,qiú,to seek; to look for; to request; to demand; to beseech,我求你帮帮我。,I'm begging you to help me.
球,qiú,ball; sphere; globe; ball game; match,我要买一个球。,I want to buy a ball.
球队,qiú duì,"sports team (basketball, soccer, football etc)",我们球队赢了。,Our team won.
球员,qiú yuán,(ball sports) player; team member,这位球员很强。,This player is very strong.
区,Oū,surname Ou,我姓区。,My surname is Ou.
区别,qū bié,difference; to distinguish; to discriminate; to make a distinction,它们有什么区别？,What's the difference between them?
区域,qū yù,area; region; district,这个区域很安静。,This area is very quiet.
曲,Qū,surname Qu,他姓曲。,His surname is Qu.
取,qǔ,to take; to get; to choose; to fetch,我去银行取钱。,I'm going to the bank to get some money.
取得,qǔ dé,to acquire; to get; to obtain,我取得了好成绩。,I got good grades.
取消,qǔ xiāo,to cancel; cancellation,请取消会议。,Please cancel the meeting.
娶,qǔ,to take a wife; to marry (a woman),他打算娶她。,He plans to marry her.
去,qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),你去哪里？,Where are you going?
去年,qù nián,last year,去年我去北京。,Last year I went to Beijing.
去世,qù shì,to pass away; to die,爷爷去年去世了。,Grandpa passed away last year.
圈,juān,to confine; to lock up; to pen in,他把羊圈起来了。,He penned the sheep up.
全,Quán,surname Quan,我姓全。,My surname is Quan.
全部,quán bù,whole; all,全部在这里。,Everything is here.
全都,quán dōu,all; without exception,我们全都到了。,We all arrived.
全国,quán guó,whole nation; nationwide; countrywide; national,全国都有分店。,There are branches nationwide.
全力,quán lì,with all one's strength; full strength; all-out (effort); fully (support),我会全力帮你。,I'll help you with all my strength.
全面,quán miàn,all-around; comprehensive; total; overall,他的知识很全面。,His knowledge is very comprehensive.
全球,quán qiú,entire; total; global; the (whole) world; worldwide,全球都在用智能手机。,People around the world use smartphones.
全身,quán shēn,the whole body; (typography) em,我全身都湿了。,My whole body is soaked.
全世界,quán shì jiè,worldwide; entire world,全世界都在看你。,The whole world is watching you.
全体,quán tǐ,all; entire,我们全体都到了。,We all arrived.
全新,quán xīn,all new; completely new,这是全新电脑。,This is a completely new computer.
权,Quán,surname Quan,他姓权。,His surname is Quan.
权力,quán lì,power; authority,你有权力决定吗？,Do you have the power to decide?
权利,quán lì,right (i.e. an entitlement to sth); (classical) power and wealth,你有投票的权利。,You have the right to vote.
拳,quán,fist; boxing,他打了一拳。,He threw a punch.
劝,quàn,to advise; to urge; to try to persuade; to exhort; to console; to soothe,妈妈劝我早睡。,Mom advised me to sleep early.
缺,quē,deficiency; lack; scarce; vacant post; to run short of,店里缺货。,The store is out of stock.
缺乏,quē fá,to lack; to be short of,他缺乏经验。,He lacks experience.
却,què,old variant of 却,我想去，却不行。,"I want to go, but I can't."
确保,què bǎo,to ensure; to guarantee,我会确保没问题。,I will ensure there are no problems.
确定,què dìng,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box),你确定吗？,Are you sure?
确认,què rèn,to confirm; to verify; confirmation,请确认一下。,Please confirm.
确实,què shí,indeed; really; reliable; real; true,他确实来了。,He really came.
群,qún,variant of 群,我们加个新群吧。,Let's join a new group.
群众,qún zhòng,mass; multitude; the masses,群众都很开心。,The people are very happy.
然而,rán ér,however; yet; but,我想去，然而没时间。,"I want to go, but I have no time."
然后,rán hòu,then; after that; afterwards,我先吃饭，然后睡觉。,"I'll eat first, then sleep."
让,ràng,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被)",让我看看。,Let me see.
绕,rào,to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex,我们绕路回家。,We are taking a detour home.
惹,rě,to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems),别惹我生气。,Don't make me angry.
