Vocab,Pinyin,Meaning,Example,Example_Meaning
两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",,
亮,liàng,bright; clear; resonant; to shine; to show; to reveal,,
辆,liàng,classifier for vehicles,,
量,liáng,to measure,,
聊,liáo,to chat; to depend upon (literary); temporarily; just; slightly,,
聊天,liáo tiān,to chat; to gossip,,
料,liào,material; stuff; grain; feed; to expect; to anticipate; to guess,,
列,liè,to arrange; to line up; file; series; (in data tables) column; (Tw) row,,
邻居,lín jū,neighbor; next door,,
临时,lín shí,as the time draws near; at the last moment; temporary; interim; ad hoc,,
灵,líng,quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin,,
灵魂,líng hún,soul; spirit,,
凌晨,líng chén,very early in the morning; in the wee hours,,
零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,,
领,lǐng,"neck; collar; to lead; to receive; classifier for clothes, mats, screens etc",,
领导,lǐng dǎo,lead; leading; to lead; leadership; leader,,
领先,lǐng xiān,to lead; to be in front,,
领袖,lǐng xiù,leader,,
领域,lǐng yù,domain; sphere; field; territory; area,,
令,líng,used in 令; used in 狐 (Taiwan pr. [lìng]),,
另,lìng,other; another; separate; separately,,
另外,lìng wài,additional; in addition; besides; separate; other; moreover; furthermore,,
流,liú,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade",,
流行,liú xíng,"(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular; fashionable",,
留,liú,old variant of 留,,
留下,liú xià,to leave behind; to stay behind; to remain; to keep; not to let (sb) go,,
六,liù,six; 6,,
龙,Lóng,surname Long,,
楼,Lóu,surname Lou,,
录,lù,to carve wood,,
录像,lù xiàng,to videotape; to videorecord; video recording,,
路,Lù,surname Lu,,
路上,lù shang,on the road; on a journey; road surface,,
路线,lù xiàn,itinerary; route; political line (e.g. right revisionist road),,
露,Lù,surname Lu,,
旅行,lǚ xíng,to travel; journey; trip,,
旅游,lǚ yóu,trip; journey; tourism; travel; tour; to travel,,
律师,lǜ shī,lawyer,,
率,lǜ,rate; frequency,,
绿,lǜ,green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend),,
绿色,lǜ sè,green,,
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,,
轮,lún,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn",,
罗,Luó,surname Luo,,
落,là,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind,,
落后,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress,,
妈,mā,ma; mom; mother,,
妈妈,mā ma,mama; mommy; mother,,
麻烦,má fan,trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble,,
马,Mǎ,surname Ma; abbr. for Malaysia 马来西亚,,
马上,mǎ shàng,at once; right away; immediately; on horseback (i.e. by military force),,
码,mǎ,"weight; number; code; to pile; to stack; classifier for length or distance (yard), happenings etc",,
骂,mà,to scold; to abuse; to curse,,
吗,má,(coll.) what?,,
嘛,má,used in 吽; (Tw) (coll.) what?,,
埋,mái,to bury,,
买,mǎi,to buy; to purchase,,
买卖,mǎi mài,buying and selling; business; business transactions,,
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,,
蛮,mán,barbarian; bullying; very; quite; rough; reckless,,
满,Mǎn,Manchu ethnic group,,
满意,mǎn yì,satisfied; pleased; to one's satisfaction,,
满足,mǎn zú,to satisfy; to meet (the needs of); satisfied; content,,
慢,màn,slow,,
慢慢,màn màn,slowly,,
忙,máng,busy; hurriedly; to hurry; to rush,,
猫,māo,cat; (dialect) to hide oneself; (coll.) modem,,
毛,Máo,surname Mao,,
矛盾,máo dùn,contradiction; conflicting views; contradictory,,
冒,mào,old variant of 冒,,
冒险,mào xiǎn,to take risks; to take chances; foray; adventure,,
帽子,mào zi,hat; cap; (fig.) label; bad name,,
没,méi,(negative prefix for verbs) have not; not,,
没关系,méi guān xi,it doesn't matter,,
没什么,méi shén me,nothing; it doesn't matter; it's nothing; never mind,,
没有,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be,,
枚,Méi,surname Mei,,
玫瑰,méi guī,rugosa rose (shrub) (Rosa rugosa); rose flower,,
媒体,méi tǐ,"media, esp. news media",,
每,měi,each; every,,
美,Měi,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国),,
美好,měi hǎo,beautiful; fine,,
美丽,měi lì,beautiful,,
美女,měi nǚ,beautiful woman,,
美元,Měi yuán,American dollar; US dollar,,
妹,mèi,younger sister,,
妹妹,mèi mei,younger sister; young woman,,
魅力,mèi lì,charm; fascination; glamor; charisma,,
门,Mén,surname Men,,
门口,mén kǒu,doorway; gate,,
们,men,"plural marker for pronouns, and nouns referring to individuals",,
蒙,méng,drizzle; mist,,
猛,měng,ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome,,
梦,mèng,dream; (bound form) to dream,,
梦想,mèng xiǎng,(fig.) to dream of; dream,,
迷,mí,to bewilder; crazy about; fan; enthusiast; lost; confused,,
米,Mǐ,surname Mi,,
秘密,mì mì,secret; private; confidential; clandestine; a secret,,
密,Mì,surname Mi; name of an ancient state,,
密码,mì mǎ,cipher; secret code; password; PIN,,
免,miǎn,to excuse sb; to exempt; to remove or dismiss from office; to avoid; to avert; to escape; to be prohibited,,
免费,miǎn fèi,free (of charge),,
面,miàn,"face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc",,
面对,miàn duì,to face; to confront,,
面临,miàn lín,to face sth; to be confronted with,,
面前,miàn qián,in front of; facing; (in the) presence (of),,
描述,miáo shù,to describe; description,,
秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly,,
民主,mín zhǔ,democracy,,
民族,mín zú,nationality; ethnic group,,
敏感,mǐn gǎn,sensitive; susceptible,,
名,míng,name; noun (part of speech); place (e.g. among winners); famous; classifier for people,,
名单,míng dān,list of names,,
名人,míng rén,personage; celebrity,,
名字,míng zi,name (of a person or thing),,
明白,míng bai,clear; obvious; unequivocal; to understand; to realize,,
明明,míng míng,obviously; plainly; undoubtedly; definitely,,
明年,míng nián,next year,,
明确,míng què,clear-cut; definite; explicit; to clarify; to specify; to make definite,,
明天,míng tiān,tomorrow,,
明显,míng xiǎn,clear; distinct; obvious,,
明星,míng xīng,star; celebrity,,
命,mìng,"life; fate; order or command; to assign a name, title etc",,
命令,mìng lìng,order; command,,
命运,mìng yùn,fate; destiny,,
摸,mō,to feel with the hand; to touch; to stroke; to grope; to steal; to abstract,,
模式,mó shì,mode; method; pattern,,
模型,mó xíng,model; mold; matrix; pattern,,
末,mò,tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man,,
某,mǒu,some; a certain; sb or sth indefinite; such-and-such,,
母,mǔ,mother; elderly female relative; origin; source; (of animals) female,,
母亲,mǔ qīn,mother; also pr. [mǔ qin],,
目标,mù biāo,target; goal; objective,,
目的,mù dì,purpose; aim; goal; target; objective,,
目前,mù qián,at the present time; currently,,
幕,mù,curtain or screen; canopy or tent; headquarters of a general; act (of a play),,
嗯,ēn,(a groaning sound),,
拿,ná,old variant of 拿,,
哪,nǎ,how; which,,
哪儿,nǎ r,where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?,,
哪里,nǎ lǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里,,
哪些,nǎ xiē,which ones?; who?; what?,,
那,Nā,surname Na,,
那边,nà bian,over there; yonder,,
那儿,nà r,there,,
那里,nà li,there; that place,,
那么,nà me,like that; in that way; or so; so; so very much; about; in that case,,
那时,nà shí,then; at that time; in those days,,
那些,nà xiē,those,,
那样,nà yàng,that kind; that sort,,
奶,nǎi,breast; milk; to breastfeed,,
奶奶,nǎi nai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts,,
耐心,nài xīn,to be patient; patience,,
男,nán,"male; Baron, lowest of five orders of nobility 位",,
男朋友,nán péng you,boyfriend,,
男人,nán rén,a man; a male; men,,
男生,nán shēng,schoolboy; male student; boy; guy (young adult male),,
男性,nán xìng,the male sex; a male,,
男子,nán zǐ,a man; a male,,
南,Nán,surname Nan,,
南方,nán fāng,south; the southern part of the country; the South,,
难,nán,difficult (to...); problem; difficulty; difficult; not good,,
难道,nán dào,don't tell me ...; could it be that...?,,
难过,nán guò,to feel sad; to feel unwell; (of life) to be difficult,,
难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear,,
难以,nán yǐ,"hard to (predict, imagine etc)",,
脑袋,nǎo dai,head; skull; brains; mental capability,,
脑子,nǎo zi,brains; mind,,
闹,nào,variant of 闹,,
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation",,
内,nèi,inside; inner; internal; within; interior,,
内部,nèi bù,"interior; inside (part, section); internal",,
内容,nèi róng,content; substance; details,,
内心,nèi xīn,heart; innermost being; (math.) incenter,,
能,Néng,surname Neng,,
能不能,néng bùnéng,Can you,,
能否,néng fǒu,whether or not; can it or can't it; is it possible?,,
能够,néng gòu,to be capable of; to be able to; can,,
能力,néng lì,capability; ability,,
能量,néng liàng,energy; capabilities,,
能源,néng yuán,energy; power source,,
你,nǐ,"you (informal, as opposed to courteous 您)",,
你们,nǐ men,you (plural),,
年,Nián,surname Nian,,
年代,nián dài,a decade of a century (e.g. the Sixties); age; era; period,,
年度,nián dù,"year (e.g. school year, fiscal year); annual",,
年纪,nián jì,age,,
年龄,nián líng,(a person's) age,,
年轻,nián qīng,young,,
念,niàn,"variant of 念, to read aloud",,
娘,niáng,mother; young lady; (coll.) effeminate,,
鸟,diǎo,variant of 屌; penis,,
尿,niào,to urinate; urine,,
您,nín,"you (courteous, as opposed to informal 你)",,
牛,Niú,surname Niu,,
牛奶,niú nǎi,cow's milk,,
农民,nóng mín,peasant; farmer,,
弄,lòng,lane; alley,,
努力,nǔ lì,to make an effort; to try hard; to strive; hard-working; conscientious,,
女,nǚ,female; woman; daughter,,
女儿,nǚ ér,daughter,,
女朋友,nǚ péng you,girlfriend,,
女人,nǚ rén,woman,,
女生,nǚ shēng,schoolgirl; female student; girl,,
女士,nǚ shì,lady; madam; Miss; Ms,,
女性,nǚ xìng,woman; the female sex,,
女子,nǚ zǐ,woman; female,,
暖,nuǎn,old variant of 暖,,
哦,é,to chant,,
欧洲,Oū zhōu,Europe (abbr. for 欧罗巴洲),,
偶尔,ǒu ěr,occasionally; once in a while; sometimes,,
偶像,ǒu xiàng,idol,,
爬,pá,to crawl; to climb; to get up or sit up,,
怕,Pà,surname Pa,,
拍,pāi,to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music),,
拍摄,pāi shè,to take (a picture); to shoot (a film),,
拍照,pāi zhào,to take a picture,,
排,pái,"a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc",,
排除,pái chú,to eliminate; to remove; to exclude; to rule out,,
牌,pái,mahjong tile; playing card; game pieces; signboard; plate; tablet; medal,,
派,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie,,
盘,pán,"plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess",,
判,pàn,to judge; to sentence; to discriminate; to discern; clearly distinguishable,,
判断,pàn duàn,to judge; to determine; judgment,,
判决,pàn jué,judgment (by a court of law); to pass judgment on; to sentence,,
旁,páng,"one side; other; different; lateral component of a Chinese character (such as 刂, 亻 etc)",,
旁边,páng biān,side; adjacent place,,
胖,pán,healthy; at ease,,
抛,pāo,to throw; to toss; to fling; to cast; to abandon,,
