Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
劝,quàn,to advise,妈妈劝我早睡。,Mom advised me to sleep early.,"<img src=""advise.jpg"" />"
缺,quē,deficiency,店里缺货。,The store is out of stock.,"<img src=""deficiency.jpg"" />"
缺乏,quē fá,to lack; to be short of,他缺乏经验。,He lacks experience.,"<img src=""lack.jpg"" />"
却,què,old variant of 卻|却[que4],我想去，却不行。,"I want to go, but I can't.",
确保,què bǎo,to ensure; to guarantee,我会确保没问题。,I will ensure there are no problems.,
确定,què dìng,definite,你确定吗？,Are you sure?,
确认,què rèn,to confirm,请确认一下。,Please confirm.,"<img src=""confirm.jpg"" />"
确实,què shí,indeed,他确实来了。,He really came.,
群众,qún zhòng,mass,群众都很开心。,The people are very happy.,
然而,rán ér,however; but; yet,我想去，然而没时间。,"I want to go, but I have no time.","<img src=""yet.jpg"" />"
然后,rán hòu,then; after that; afterwards,我先吃饭，然后睡觉。,"I'll eat first, then sleep.",
让,ràng,to yield,让我看看。,Let me see.,"<img src=""yield.jpg"" />"
绕,rào,to wind,我们绕路回家。,We are taking a detour home.,
惹,rě,to provoke,别惹我生气。,Don't make me angry.,"<img src=""provoke.jpg"" />"
热,rè,to warm up,今天天气很热。,It's very hot today.,
热情,rè qíng,cordial,他待人很热情。,He is very warm and friendly.,
人,rén,person; people,那个人很好。,That person is very nice.,
人才,rén cái,talent,他是个人才。,He is a talented person.,
人家,rén jiā,household,人家都知道了。,Others already know.,
人口,rén kǒu,population,中国人口很多。,China has a large population.,"<img src=""population.jpg"" />"
人类,rén lèi,humanity,人类要保护地球。,Humans should protect the Earth.,
人们,rén men,people,人们喜欢喝茶。,People like drinking tea.,
人民,rén mín,the people,人民的生活很好。,The people's lives are good.,
人群,rén qún,crowd,他走进人群。,He walked into the crowd.,
人生,rén shēng,life (one's time on earth),人生只有一次。,Life happens only once.,
人士,rén shì,person,他是位知名人士。,He is a well-known figure.,
人数,rén shù,number of people,参加人数是多少？,How many people are participating?,
人体,rén tǐ,human body,人体很重要。,The human body is very important.,
人物,rén wù,person; personage; figure (esp. sb of importance),他是书里的重要人物。,He is an important character in the book.,"<img src=""importance.jpg"" />"
人员,rén yuán,staff,值班人员是谁？,Who is the staff on duty?,"<img src=""staff.jpg"" />"
忍,rěn,to bear,我忍不住了。,I can't stand it anymore.,
认,rèn,to recognize,我认得他。,I know him.,"<img src=""recognize.jpg"" />"
认识,rèn shi,to know,我认识他。,I know him.,
认为,rèn wéi,to believe; to think; to consider; to feel,我认为是真的。,I think it's true.,
认真,rèn zhēn,conscientious,他工作很认真。,He works very seriously.,
任何,rèn hé,any; whatever; whichever,有任何问题吗？,Do you have any questions?,
任务,rèn wu,mission; assignment; task; duty; role,我的任务是写作业。,My task is to do homework.,"<img src=""assignment.jpg"" />"
扔,rēng,to throw,别扔垃圾。,Don't throw away the trash.,
仍,réng,still; yet,他仍在学习。,He is still studying.,
仍然,réng rán,still; as before; yet,他仍然没来。,He still hasn't arrived.,
日,Rì,(bound form) sun,我去日本。,I am going to Japan.,
日期,rì qī,date,今天的日期是？,What is today's date?,
日子,rì zi,day,今天是个好日子。,Today is a good day.,
荣誉,róng yù,honor,这是我们的荣誉。,This is our honor.,
容易,róng yì,easy; straightforward,学中文不容易。,Learning Chinese isn't easy.,"<img src=""straightforward.jpg"" />"
肉,ròu,meat,我喜欢吃肉。,I like to eat meat.,"<img src=""meat.jpg"" />"
如,rú,as,比如喝茶。,"For example, drinking tea.",
如此,rú cǐ,like this; so; such,他如此努力。,He works so hard.,"<img src=""such.jpg"" />"
如果,rú guǒ,if; in case; in the event that,如果下雨，我不去。,"If it rains, I won't go.",
如何,rú hé,how,你觉得如何？,What do you think?,
如今,rú jīn,nowadays; now,如今生活很好。,Life is good nowadays.,"<img src=""nowadays.jpg"" />"
如同,rú tóng,like,你的笑容如同阳光。,Your smile is like sunshine.,
入,rù,to enter; to go into,我明天入学。,I will enroll in school tomorrow.,
软,ruǎn,soft,这枕头很软。,This pillow is very soft.,
软件,ruǎn jiàn,software,这个软件很好用。,This software is very easy to use.,
若,ruò,used in 般若[bo1 re3],你若来，我就去。,"If you come, I will go.",
弱,ruò,weak; feeble,他身体很弱。,He is very weak.,"<img src=""feeble.jpg"" />"
撒,sā,to let go,他撒了手。,He let go.,
塞,Sāi,to plug; to stop up; to stuff in,我去过塞。,I have been to Serbia.,"<img src=""stuff.jpg"" />"
赛,sài,to compete,我们去比赛吧。,Let's go compete.,
色,sè,color,我喜欢这个色。,I like this color.,
森林,sēn lín,forest,我们去森林玩吧。,Let's go play in the forest.,
杀,shā,to kill; to slay; to murder; to attack,他杀了只鸡。,He killed a chicken.,"<img src=""kill.jpg"" />"
杀手,shā shǒu,killer,他是电影里的杀手。,He is the killer in the movie.,
沙发,shā fā,"(loanword) sofa (CL:條|条[tiao2],張|张[zhang1])",这沙发真舒服。,This sofa is really comfortable.,
傻,shǎ,foolish,你太傻了。,You are too foolish.,
啥,shá,dialectal equivalent of 什麼|什么[shen2 me5],这是啥？,What is this?,
扇,shān,to fan,妈妈给我扇风。,Mom fans me.,
善,shàn,good (virtuous),他为人很善良。,He is very kind.,
伤,shāng,to injure,别伤到自己。,Don't hurt yourself.,"<img src=""injure.jpg"" />"
伤害,shāng hài,to injure; to harm,别伤害自己。,Don't hurt yourself.,
伤口,shāng kǒu,wound,我的伤口不疼了。,My wound doesn't hurt anymore.,"<img src=""wound.jpg"" />"
伤心,shāng xīn,to grieve,别伤心了。,Don't be sad.,
商店,shāng diàn,store; shop,我去商店买东西。,I go to the store to buy things.,"<img src=""store.jpg"" />"
商品,shāng pǐn,commodity; goods; merchandise,这件商品多少钱？,How much is this product?,"<img src=""merchandise.jpg"" />"
商业,shāng yè,business,他喜欢商业。,He likes business.,
上,shǎng,used in 上聲|上声[shang3 sheng1],这个字是上声。,This character has the third tone.,
上班,shàng bān,to go to work,你几点上班？,What time do you go to work?,
上次,shàng cì,last time,上次我去北京。,Last time I went to Beijing.,
上帝,Shàng dì,God,我相信上帝。,I believe in God.,
上课,shàng kè,to go to class,我明天上课。,I have class tomorrow.,
上来,shàng lái,to come up,你上来一下。,Come up for a moment.,
上面,shàng miàn,on top of,书在桌子上面。,The book is on top of the table.,
上去,shàng qù,to go up,他走上去。,He walked up.,
上升,shàng shēng,to rise,气温上升了。,The temperature rose.,
上午,shàng wǔ,morning,我上午去学校。,I go to school in the morning.,
上学,shàng xué,to go to school,我每天去上学。,I go to school every day.,
上周,shàng zhōu,last week,上周我去公园。,I went to the park last week.,"<img src=""week.jpg"" />"
烧,shāo,to burn; to set on fire,我去烧水。,I'll go boil some water.,"<img src=""burn.jpg"" />"
稍,shāo,somewhat,价格稍贵。,The price is somewhat expensive.,"<img src=""somewhat.jpg"" />"
少,shǎo,few,他话很少。,He speaks very little.,"<img src=""few.jpg"" />"
少年,shào nián,early youth,那个少年很勇敢。,That young man is very brave.,
少女,shào nǚ,girl,那位少女在唱歌。,That girl is singing.,
设,shè,to set up; to put in place,假设你赢了。,Suppose you win.,
设备,shè bèi,equipment; facilities; installations,我们需要新设备。,We need new equipment.,"<img src=""equipment.jpg"" />"
设计,shè jì,to design; to plan,我来设计房间。,I'll design the room.,
设计师,shè jì shī,designer,他是设计师。,He is a designer.,
设施,shè shī,facilities,这里的设施很好。,The facilities here are very good.,
设置,shè zhì,to set up; to install,帮我设置闹钟。,Help me set an alarm.,
社,shè,(bound form) society; organization; agency,我在社区工作。,I work in the community.,"<img src=""society.jpg"" />"
社会,shè huì,society,社会变化很快。,Society changes quickly.,
社区,shè qū,community,我喜欢这个社区。,I like this neighborhood.,"<img src=""community.jpg"" />"
射,shè,old variant of 射[she4],他爱射箭。,He loves shooting arrows.,
涉及,shè jí,to involve; to relate to; to concern; to touch upon,这个话题不涉及钱。,This topic doesn't involve money.,"<img src=""involve.jpg"" />"
摄影,shè yǐng,to take a photograph,我喜欢摄影。,I like photography.,"<img src=""photograph.jpg"" />"
申请,shēn qǐng,to apply for sth,我想申请签证。,I want to apply for a visa.,"<img src=""apply.jpg"" />"
身边,shēn biān,at one's side,他总在我身边。,He is always by my side.,
身材,shēn cái,stature,她身材很好。,Her figure is very good.,
身份,shēn fèn,"identity; aspect of one's identity (e.g. mayor, father, permanent resident); role; capacity (as in ""in his capacity as ..."" 以[yi3] + ... + 的身份[de5 shen1 fen4]); status (social, legal etc); position; rank",他的身份是什么？,What is his identity?,"<img src=""permanent.jpg"" />"
身上,shēn shang,on the body,我身上没钱。,I don't have money on me.,
身体,shēn tǐ,the body,我身体不舒服。,I'm not feeling well.,
深,shēn,old variant of 深[shen1],这水很深。,The water is very deep.,
深刻,shēn kè,profound,让我印象很深刻。,It left a deep impression on me.,"<img src=""profound.jpg"" />"
深入,shēn rù,to penetrate deeply,我们深入讨论了一下。,We discussed it in depth.,"<img src=""penetrate.jpg"" />"
什么,shén me,what?,这是什么？,What is this?,
什么样,shén me yàng,what kind?; what sort?,你想要什么样？,What kind do you want?,"<img src=""sort.jpg"" />"
甚至,shèn zhì,even; so much so that,他甚至没空回消息。,He didn't even have time to reply.,
神,Shén,God,你信神吗？,Do you believe in God?,
神经,shén jīng,nerve,你别太神经了。,Don't be so crazy.,
神秘,shén mì,mysterious,这个地方很神秘。,This place is very mysterious.,
神奇,shén qí,magical,这个药很神奇。,This medicine is miraculous.,"<img src=""magical.jpg"" />"
审判,shěn pàn,a trial,法官正在审判他。,The judge is trying him.,"<img src=""trial.jpg"" />"
升,shēng,to ascend; to rise,太阳升起来了。,The sun has risen.,
升级,shēng jí,to go up by one grade; to be promoted,我要升级软件。,I want to upgrade the software.,"<img src=""grade.jpg"" />"
生,shēng,to grow; to give birth; to produce; to be born,这菜是生的。,This dish is raw.,
生产,shēng chǎn,to produce; to manufacture,工厂生产手机。,The factory produces phones.,"<img src=""manufacture.jpg"" />"
生存,shēng cún,to exist,为了生存，他努力工作。,He works hard to survive.,
生活,shēng huó,to live,我喜欢简单的生活。,I like a simple life.,
生命,shēng mìng,life (as the characteristic of living beings),生命很宝贵。,Life is precious.,"<img src=""characteristic.jpg"" />"
生气,shēng qì,to get angry; to be furious,别生气了。,Don't be angry.,
生日,shēng rì,birthday,今天是我生日。,Today is my birthday.,
生物,shēng wù,organism; living creature; life form,我喜欢生物。,I like living things.,"<img src=""organism.jpg"" />"
生意,shēng yì,life force,这棵树很有生意。,This tree has a lot of vitality.,"<img src=""force.jpg"" />"
声,shēng,sound,请别出声。,Please don't make a sound.,
声明,shēng míng,to state,公司发表了一份声明。,The company issued a statement.,
声音,shēng yīn,sound; voice,你的声音真好听。,Your voice sounds really good.,
省,shěng,to save; to economize; to be frugal,我想省点钱。,I want to save some money.,"<img src=""save.jpg"" />"
圣诞节,Shèng dàn jié,Christmas time,圣诞节你打算做什么？,What do you plan to do on Christmas?,
胜,shèng,victory,这次我胜了。,I won this time.,"<img src=""victory.jpg"" />"
胜利,shèng lì,victory,我们终于胜利了。,We finally won.,
剩,shèng,to remain,还剩多少？,How much is left?,
剩下,shèng xià,to remain; to be left over,蛋糕全剩下了。,The cake is all left over.,
尸体,shī tǐ,corpse; dead body,他们发现了尸体。,They found the dead body.,
失败,shī bài,to be defeated,这次我失败了。,I failed this time.,
失去,shī qù,to lose,我失去了机会。,I lost the opportunity.,
失望,shī wàng,disappointed,我很失望。,I am disappointed.,
失踪,shī zōng,to be missing,他失踪了。,He is missing.,
诗,Shī,"abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs",我喜欢写诗。,I like writing poems.,
十,shí,ten,我十点见。,See you at ten o'clock.,
十分,shí fēn,very,我今天十分开心。,I am very happy today.,
石头,shí tou,stone,地上有块石头。,There is a stone on the ground.,
石油,shí yóu,oil,中国有很多石油。,China has a lot of oil.,
时,shí,old variant of 時|时[shi2],这时天气很好。,The weather is nice right now.,
时代,Shí dài,"Time, US weekly news magazine",我们生活在新时代。,We live in a new era.,
时光,shí guāng,time (esp. as sth that passes),时光过得真快。,Time passes so quickly.,
时候,shí hou,time,你什么时候来？,When are you coming?,
时机,shí jī,opportunity; opportune moment,这是个好时机。,This is a good opportunity.,
时间,shí jiān,(concept of) time,我没有时间。,I don't have time.,
时刻,shí kè,time,他时刻关心我。,He always cares about me.,
时期,shí qī,period,那段时期真不错。,That period was really nice.,
时尚,shí shàng,fashion,这件衣服很时尚。,This outfit is very fashionable.,
实际,shí jì,reality,实际成本是多少？,What is the actual cost?,
实际上,shí jì shàng,in fact,实际上很简单。,Actually it is very simple.,"<img src=""fact.jpg"" />"
实力,shí lì,strength,他们很有实力。,They have great strength.,
实施,shí shī,to implement,公司要实施新规了。,The company is implementing new rules now.,
实现,shí xiàn,to achieve; to implement; to realize; to bring about,我终于实现了梦想。,I finally achieved my dream.,"<img src=""realize.jpg"" />"
